Drug Name,Drug ID
Daysee,1042-16160
Daytrana,1606-2474
Dayvigo,4115-19342
Ddrops,646-17170
De-Sone LA,810-3295
Deblitane,1730-17398
Debrox,499-238
Decadron,810-2110
Decara,646-16192
Deconex,1208-7936
Deconex DMX,847-12595
Deconex IR,1208-12594
Deep Down Pain Relief,1601-9120
Deep Sea Nasal Spray,2949-13304
DefenCath,4563-20631
Definity,1828-2218
Definity RT,1828-19660
Defitelio,3737-17968
Delestrogen,1019-578
Delstrigo,3957-18942
Delsym,844-2022
Delsym 12 Hour Cough Relief,844-12297
Delsym Children’s Cough+ Cold Night Time,65-16432
Delsym Cough & Sore Throat,50-19725
Delsym Cough+ Chest Congestion DM,846-16427
Delsym Cough+ Cold Day Time,56-16426
Delsym Cough+ Cold Night Time,65-16431
Delsym Night Time Multi-Symptom,54-14860
Delta D3,646-5791
Deltuss DMX,827-16006
Deltuss DP,833-16007
Delyla,1042-16579
Delzicol,2336-16071
Demadex,2219-1472
Demerol,1557-939
Demser,1620-996
Denatured Alcohol,1035-10358
Denavir,1813-1167
Dengvaxia,4012-19116
Denorex Therapeutic,3904-19927
Denovo,1419-19030
Dentagel,1110-10608
Depakote,918-484
Depakote ER,918-483
Depakote Sprinkles,918-9815
Depen,1814-3628
Deplin,1419-2391
Depo Provera,1543-929
Depo-Estradiol,1019-2253
Depo-Medrol,1607-1955
Depo-Testosterone,2167-1416
Derifil,590-10331
DermOtic Oil,1105-11208
Derma-Smoothe/FS (Body Oil),1103-16474
Derma-Smoothe/FS (Scalp),1103-14240
DermaFungal,1626-6608
DermacinRx Lexitral PharmaPak,3748-18000
Dermagran AF,1626-12665
DermalZone,2037-12433
Dermarest Psoriasis Medicated Moisturizer,2037-5495
Dermarest Psoriasis Overnight Treatment,2037-5492
Dermarest Psoriasis Skin Treatment,2037-5496
Dermasorb TA,2233-17569
Dermasorb XM,2277-16435
Dermoplast,2339-4589
Dermtex HC,2378-11960
DesOwen,808-417
DesOwen Lotion 2 oz Kit,808-16848
DesOwen Ointment Kit,808-16849
Descovy,3744-17988
Desenex Antifungal Foot Cream,1626-6599
Desenex Jock Itch,1626-6598
Desferal,792-408
Desogen,807-415
Desonate,808-5352
Desoxyn,1579-959
Despec,1208-7933
Despec DM,850-8401
Despec Drops,850-8400
Despec-SR,1213-7878
Desyrel,2228-1479
Detrol,2215-1468
Detrol LA,2215-1467
Dex4,2371-11744
Dexamethasone Intensol,810-13612
Dexedrine,843-4506
Dexilant,3107-14380
Dexpak Taperpak,810-3305
Dextenza,812-19009
Dextran 70 6% in 5% Dextrose,2765-11860
Dextrose,2371-11743
Dexycu,812-18776
Di-Dak-Sol,2085-14586
DiaBeta,1185-1624
Diabetic Tuss DM,846-8218
Diabetic Tussin Chest Congestion,1200-19683
Diabetic Tussin Night Time Formula,51-11006
Diacomit,3952-18929
Diamode,1482-4926
Diamox,86-3180
Diamox Sequels,86-24
Diastat AcuDial,862-2456
Diastat Pediatric,862-3173
Dibenzyline,1849-1192
Dicel,638-7030
Diclegis,3467-16159
DicloStream,4108-19281
Diclona,4374-20091
Diclotral Pak,3748-19708
Didrex,361-162
Didronel,1053-592
Differin,103-33
Dificid,3329-15365
Difil G,954-6867
Difil-G Forte,954-6868
Diflucan,1096-630
Digex NF,3124-13787
DigiFab,884-2411
Dilantin,1863-1205
Dilaudid,1294-768
Dimetane Decongestant,427-12668
Dimetapp Children's Cold & Allergy,427-12954
Dimetapp Children's Long Acting Cough Plus Cold,609-7523
Diovan,2288-1519
Diovan HCT,1272-1518
Dipentum,1747-1116
Diphedryl,896-3387
Diphenhist,896-3383
Diprivan,1954-2336
Diprolene,371-166
Disposable Enema,2565-12069
Ditropan,1768-1132
Diurex Aquagels,1784-15284
Diurex Water Capsules,1784-14838
Diuril,594-307
Divigel,1019-12804
Doans PM,901-10307
Doans Pills Extra Strength,1517-4638
Dobutrex,919-3449
Doc-Q-Lace,2365-11822
Docefrez,920-15297
Dojolvi,4163-19487
Dok Plus,924-8746
Dologesic,79-2357
Dologesic DF,79-15886
Donatussin Drops,1208-7940
Donnatal,288-8709
Doptelet,3913-18849
Doral,1978-1273
Doribax,2447-12295
Dormin,896-15100
Dotarem,3463-16150
Dotti,1019-19071
Dovato,4005-19102
Dovonex,459-218
Doxil,939-2272
Dr Caldwell Laxative,2054-4831
Dr Scholl's Callus Removers,2037-12314
Dr Scholl's Clear Away Wart Remover,2037-12310
Dr Scholl's Corn Removers,2037-12311
Dr Scholl's Corn Removers Small,2037-12316
Dramamine,892-462
Dramamine Less Drowsy,1540-13419
Dramamine for Kids,892-17782
Driminate,892-4654
Drisdol,1003-550
Dristan 12 Hour Nasal Spray,2390-16193
Dristan Cold Multi Symptom Formula,42-7322
Dristan Cold Non-Drowsy,82-6898
Drixoral Cold and Allergy,822-9330
Drixoral Decongestant Non-Drowsy,1964-4298
Drizalma Sprinkle,949-19153
Droxia,1302-773
Dry Eye Omega Benefits,1749-15797
Dry Eye Relief,1740-13669
Dry Mouth Mouthwash,2534-16437
Drysol,139-2324
Duac,355-341
Duaklir Pressair,4004-19099
Dual Action Complete,467-13362
Duavee,3491-16352
Duetact,1177-2482
Duexis,3320-15294
Dulcolax,2395-175
Dulcolax Stool Softener,2365-11843
Dulera,3243-14624
Duo Fusion,467-19289
DuoDote,2398-12945
DuoNeb,110-2032
Duobrii,4009-19111
Duofilm,2037-1962
Duopa,515-16949
Duoplant,2037-1325
Duphalac,1427-4917
Dupixent,3797-18439
DuraHist D,831-2319
Duraclon,704-1605
Duraflex Comfort,1601-13018
Duraflu,58-1925
Duraganidin NR,719-8063
Duragesic,1074-615
Duramorph PF,1656-3564
Duration,2390-11770
Duravent DM,847-16883
Duravent PE,1208-16884
Durezol,2835-12711
Durlaza,243-17538
Durolane,2083-18840
Durysta,382-19417
Dutoprol,1262-15528
Duvyzat,4596-20706
Duzallo,3858-18621
Dyanavel XR,2543-17597
Dycill,873-3177
Dymista,3396-15677
Dyna-Hex,588-5175
Dynacirc,1405-3500
Dynapen,873-3176
Dyrenium,2234-1487
Dysport,3247-14653
Dytan-D,902-2233
Dytan-DM,845-11153
Dytuss,896-472
EC-Naprosyn,1690-1590
EContra EZ,1461-17085
EContra One-Step,1461-18825
ED Bron GP,1208-16886
ENTsol,2949-13305
EPA Fish Oil,1749-3876
EPIsnap,989-17651
EZChar,574-14478
Ecotrin,243-2548
Ecoza,957-16366
Ed A-Hist,631-7056
Ed A-Hist DM,612-7677
Ed Chlor Ped Jr.,604-18162
Ed ChlorPed,604-1901
Ed ChlorPed D,631-7086
Ed Cyte F,1078-9959
Ed-Chlortan,604-16257
Edarbi,3302-15166
Edarbyclor,3362-15526
Edecrin,1032-584
Edluar,2333-13749
Edurant Ped,3327-20703
Effer-K,1907-17609
Effexor XR,2296-1523
Effient,3148-13914
Efodine,2773-11694
Efudex,1114-646
Elahere,4411-20195
Elaprase,1317-2445
Elavil,168-74
Eldepryl,2051-1341
Elelyso,3395-15678
Elestat,988-537
Elestrin,1019-3965
Elevidys,4506-20463
Elfabrio,4477-20371
Elfolate,1419-18089
Elidel,1871-1211
Eligard,1445-2021
Elimite,1831-1183
Elinest,1046-15656
Eliquis,3438-16026
Elitek,1996-1285
ElixSure Cough,844-2031
Elixophyllin,2177-1426
Ellence,996-543
Ellura,750-16887
Elmiron,1824-1176
Elocon,1650-1023
Eloctate,216-16577
Elon Dual Defense Anti-Fungal Formula,2274-9175
Eloxatin,1760-1125
Elrexfio,4528-20550
Elta Tar,712-9230
Elucirem,4400-20163
Elyxyb,560-19453
Elzonris,3988-19027
Embeda,3166-13985
Emcin Clear,1010-1553
Emcyt,1026-579
Emend,226-107
Emend for Injection,2862-12820
Emflaza,3785-18366
Emgality,3963-18961
Emla,1468-870
Empaveli,4260-19744
Empliciti,3717-17650
Emrosi,1636-20914
Emsam,2051-2400
Emtriva,970-529
Emverm,1535-17812
Enablex,785-1616
Enbrel,1031-10436
EndaCof-DM,422-16889
Endal Liquid,4517-20475
Endocet,72-1134
Endometrin,2414-11739
Endosol Extra,3681-17536
Endur-acin,1711-19555
Enfamil D-Vi-Sol,646-14747
Engerix-B,3251-14659
Engerix-B Pediatric,3250-14660
Enhertu,4121-19368
Enjaymo,4340-19982
Enjuvia,2360-2398
Enpresse,1042-6790
Enskyce,807-16118
Enspryng,4182-19528
Enstilar,372-17596
Entadfi,4323-19906
EnteraGam,3535-16576
Entereg,2825-12615
Entex HC,1205-12220
Entex T,1213-15671
Entocort EC,431-196
Entre-Cough,850-16178
Entresto,3637-17453
Entresto Sprinkle,3637-20725
Entyvio,3531-16568
Enzeevu,3354-20815
Epclusa,3756-18097
EpiPen,989-538
EpiQuin Micro,1295-5534
Epidiolex,3919-18874
Epiduo,3099-13516
Epimide 50,2277-4104
Epitol,497-235
Epivir,1428-846
Epivir-HBV,1428-845
Epkinly,4489-20389
Epogen,998-545
Eprontia,2216-19883
Epsolay,354-20026
Epsom Salt,1519-3851
Epysqli,958-20798
Epzicom,3-2264
Equalactin,1892-4871
Equetro,497-1768
Eraxis,209-2470
Erbitux,572-288
Erelzi,1031-18165
Ergomar,1006-3456
Erivedge,3365-15587
Erleada,3893-18785
Errin,1730-3981
Ertaczo,2056-1347
Erwinaze,3367-15589
Ery-Tab,1009-2007
Erygel,1010-6631
Erzofri,1781-20805
Esbriet,3569-16908
Escavite,1664-15861
Esgic,21-8584
Esperoct,216-19067
Estarylla,1045-16069
Ester-C,238-3838
Estrace,1019-573
Estrace Vaginal Cream,2422-12704
Estradiol Patch,1019-3912
Estrasorb,1019-3941
Estring,2422-12705
Estrogel,1019-3910
Estrostep Fe,1044-6730
Ethamolin,1036-5601
Ethyol,152-62
Etopophos,1057-595
Eucalyptamint,1601-9126
Eucrisa,3777-18314
Euflexxa,2083-2172
Eurax,753-385
Euthyrox,1463-3511
Evamist,1019-12482
Evekeo,2543-17160
Evekeo ODT,2543-19056
Evening Primrose Oil,1059-10639
Evenity,4006-19103
Evista,1987-1280
Evkeeza,4240-19694
Evoclin,691-2025
Evotaz,3599-17083
Evoxac,573-289
Evusheld,4322-19904
Evzio,1682-16547
Ex-Lax Chocolated,2054-4838
Ex-Lax Milk of Magnesia,1513-4734
Ex-Lax Regular Strength Pills,2054-4836
Exalgo,1294-14379
Exblifep,4585-20690
Excedrin,14-2245
Excedrin Migraine,14-8530
Excedrin Mild Headache,23-16977
Excedrin Quick Tab,23-9921
Excedrin Sinus Headache,78-2450
Excedrin Tension Headache,23-9918
Exelderm,2120-1379
Exelon,2023-1308
Exforge,175-2564
Exforge HCT,3130-13790
Exjade,791-2538
Exkivity,4298-19837
Exocaine Plus,1601-9123
Exoderm,2038-10847
Exondys 51,3766-18211
Exparel,3370-15591
Exservan,2015-19278
Extavia,1361-13983
Extina,1413-2559
Extreme Omega Heart Health,4482-20374
Exubera,1346-11089
Exxua,4535-20578
Eye Itch Relief,1417-13146
Eye Omega Benefits for Kids,1749-20491
Eyemycin,1011-14196
Eylea,3354-15491
Eylea HD,3354-20561
Eysuvis,1490-19574
Ezallor,2031-19023
Ezfe,1386-13624
FIRST-Testosterone,2167-17509
Fabior,2148-15686
Fabrazyme,106-10837
Fallback Solo,1461-16581
Falmina,1042-15655
Famvir,1065-601
Fanapt,3140-13838
Fareston,2218-1471
Farxiga,3506-16379
Farydak,3605-17198
Fasenra,3874-18716
Faslodex,1144-675
Fast Freeze,485-15800
Fayosim,1042-17989
FazaClo,709-1549
Fe C,3397-15711
Feiba,215-17629
Feiba VH,215-99
Felbatol,1068-608
Feldene,1881-1216
Fem pH,87-9025
Femara,1443-853
Femcon Fe,1044-6754
Feminique,87-9023
Femring,1019-577
Femtrace,1019-2044
Femynor,1045-18098
Fenesin DM IR,846-13524
Fenesin IR,1200-13420
Fenoglide,1071-12543
Fensolvi,1445-19452
Fentora,1074-2465
Feosol Natural Release,524-10648
Feosol Original,1082-620
Fer-In-Sol,1082-619
Feraheme,3150-13922
Ferate,1081-9770
Fergon,1081-617
FeroSul,1082-9786
Ferretts IPS,1387-11032
Ferretts Iron,1077-16442
Ferrex-150,1386-9777
Ferriprox,3348-15447
Ferrlecit,2081-1361
Ferrousal,1082-14755
Fetroja,4102-19273
Fetzima,3483-16273
Feverall,11-2691
Fexmid,758-4702
Fiasp,1341-18662
Fiber Lax,1892-4874
Fiber Laxative,1892-4875
FiberCon,1892-4870
Fibertab,1892-4877
Fibricor,3096-13984
Filspari,4448-20295
Filsuvez,4577-20654
Finacea,297-141
Fintepla,1070-19484
Finzala,1044-19434
Fioricet,21-8571
Fioricet with Codeine,22-8464
Fiorinal,246-1738
Fiorinal with Codeine,247-8465
Firazyr,3341-15412
Firdapse,3982-19008
Firmagon,3102-13962
Firvanq,2289-18766
Fish Oil,1749-3873
Fish Oil Mini,1749-20492
Flac,1105-18834
Flagyl,1617-988
Flarex,1111-1825
Flebogamma,1325-2206
Flector Patch,871-12395
Fleet Enema,2565-12067
Fleet Glycerin Suppositories Adult,3159-13948
Fleet Glycerin Suppositories Pediatric,3159-13949
Fleet Liquid Glycerin Suppositories,3159-13950
Fleqsuvy,318-19983
Fletchers Castoria,2054-4826
Flex Omega Benefits,1749-15801
FlexAll 454 Ultra Plus,3687-17826
Flexall,2767-15804
Flexbumin,108-5738
Flexeril,758-386
Flextra,32-2242
Flo-Pred,1933-12404
FloLipid,2067-18659
Flolan,999-547
Flomax,2146-1397
Flonase,2418-12110
Flonase Allergy Relief,2418-16718
Flonase Sensimist,2418-18143
Flora-Q,1424-9050
Florajen,1424-16987
Florajen3,3205-15428
Floranex,1425-13021
Florastor,2035-11039
Florastor Kids,2035-11040
Florinef Acetate,1100-4059
Floriva,1662-16988
Flovent,1124-661
Flovent Diskus,1124-658
Flovent HFA,1124-1963
Floxin,1741-1109
Floxin Otic,1743-2035
FluLaval Preservative-Free Quadrivalent,1337-19518
FluLaval Quadrivalent,1337-16349
FluMist,1338-10862
Fluad,1337-17649
Fluarix Preservative-Free Quadrivalent,1337-19559
Fluarix Quadrivalent,1337-16019
Flublok Quadrivalent,1337-18231
Flucelvax Preservative-Free Quadrivalent,1337-19560
Flucelvax Quadrivalent,1337-18024
Flumadine,2016-1301
Fluorabon,2538-14150
Fluorigard,1110-10613
Fluoritab,2538-14151
Fluoroplex,1114-6645
Flura-Loz,2538-14154
Fluzone High-Dose Quadrivalent,1337-19255
Fluzone Preservative-Free Pediatric Quadrivalent,1337-17233
Fluzone Preservative-Free Quadrivalent,1337-17234
Fluzone Quadrivalent,1337-16224
Focalin,836-426
Focalin XR,836-1783
Focinvez,2862-20562
Follistim AQ,1130-665
Follistim AQ Cartridge,1130-10119
Folotyn,3172-14006
Foradil Aerolizer,1136-667
Formulation R,2528-12095
Fortamet,1573-9755
Fortaz,554-277
Forteo,2165-1413
Fortesta,2167-14997
Fortical,460-2534
Fosamax,116-46
Fosamax Plus D,117-1729
Foscavir,1138-669
Fosrenol,1435-1630
Fostex Gel 10%,354-5259
Fostex Wash 10%,354-5260
Fotivda,4246-19716
Fragmin,776-402
Freeze It,485-14587
Freeze It Roll-On,485-14588
Freezone Corn Remover,2037-12155
FreshKote,1740-9435
Frova,1143-674
Fruzaqla,4559-20627
Fulphila,1805-18855
Fulyzaq,3440-16028
Fungi-Guard,2214-5325
Fungi-Nail,2274-17007
FungiCURE Pump Spray,707-12361
Fungizone,191-88
Fungoid,1626-6579
Furoscix,1146-20169
Fuzeon,976-532
GRX-Dyne,2773-15807
Gabitril,2191-1438
Gablofen,318-14935
Gadavist,3305-15175
Galafold,3950-18927
Gallifrey,1730-20864
Galzin,2324-10185
GamaSTAN S/D,2887-12878
Gamifant,3978-19001
Gamimune,1325-12420
Gammagard Liquid,3351-19239
Gammagard S/D,1325-5028
Gammaked,3351-17545
Gammaplex,1325-14760
Gammar-P I.V.,1325-5032
Gamunex-C,3351-15453
Garamycin,1168-691
Garamycin Topical,1169-6617
Gardasil 9,1250-16927
Gas Aide,2065-4967
Gas Relief Extra Strength,2065-18034
Gas-X,2065-1357
Gas-X Extra Strength,2065-18213
Gas-X Ultra Strength,2065-18214
Gastrocrom,751-2046
Gattex,3436-16023
GaviLAX,1893-14222
GaviLyte-C,3155-14046
Gaviscon Extra Strength,3391-15674
Gaviscon Regular Strength Tablets,3392-15675
Gavreto,4189-19545
Gazyva,3498-16369
Gel-Kam,1110-10578
Gelclair,2084-11046
Gelnique,1768-13640
Gelsyn-3,2083-18703
Gelusil,145-8670
Gemmily,1044-19612
Gemtesa,4230-19675
Gemzar,1164-686
GenTeal,1740-9398
GenTeal Mild,1740-9420
GenTeal Tears Moderate,1740-19831
GenTeal Tears Night-Time,1740-20252
GenTeal Tears Severe,1740-19832
Genace,14-8527
Gencontuss,612-19129
Geneye Extra,2174-4315
Geneyes,2174-4316
Genicin,1182-15621
Genicin Vita-D,3740-19346
Genotropin,2100-1719
Genpril,1310-2581
Genvoya,3729-17937
Geodon,2330-1540
Geri-Hydrolac,180-14049
Geri-Kot,2054-20728
Gialax,1893-18477
Gianvi,947-14640
Giazo,319-15598
Gilenya,3264-14824
Gilotrif,3481-16264
Gilphex TR,1208-12675
Giltuss,847-16463
Giltuss Allergy Plus,612-19130
Giltuss TR,847-12223
Gimoti,1612-19482
Ginger Root,1173-10624
Ginkgo Biloba,1174-10621
Givlaari,4104-19276
Glandosane Unflavored,2534-11978
Glassia,131-14628
Glatopa,1175-17300
Gleevec,1321-787
Gleolan,3812-18529
Gleostine,1481-16870
Gliadel,528-265
GlipiZIDE XL,1179-3473
Gloperba,728-19057
GlucaGen,1181-699
Glucophage,1573-954
Glucophage XR,1573-953
Glucoten,654-15922
Glucotrol,1179-698
Glucotrol XL,1179-697
Glucovance,1186-700
Glumetza,1573-9756
GlutaSolve,3011-13449
GlycoLax,1893-1223
Glydo,1465-16559
Glynase PresTab,1185-3474
Glyset,1631-1007
Glyxambi,3601-17086
GoLYTELY,3155-13933
Gocovri,148-18625
Gohibic,4464-20327
Gold Bond Anti-Itch,1927-5388
Gold Bond Medicated Maximum Strength Foot,2767-12391
Gonak Hypromellose,1300-5168
Gonal-f,1130-664
Gonal-f RFF,1130-10117
Goniosoft,1300-5160
Goniotaire,1300-16088
Goniovisc,1300-14646
"Good Sense Lice Killing Shampoo, Step 1",1879-14493
Goody's Extra Strength,14-8531
Goody's Headache Powders,14-8526
Gordofilm,2037-5401
Gordogesic,1601-9100
Gormel,2277-4108
Gormel 10,2277-4109
Grafco Silver Nitrate,2063-15853
Gralise,1147-15046
Granix,3415-16939
Grastek,3541-16872
Guaiatussin AC,719-8048
Guaifen DAC,721-8145
Guaifenesin DM,846-713
Guaifenex,1209-8023
H.P. Acthar Gel,747-4055
Habitrol,1716-3594
Haegarda,2955-18547
Hailey 24 Fe,1044-18721
Hailey Fe 1.5/30,1044-18869
Hailey Fe 1/20,1044-18720
Hair Regrowth Treatment for Men,1639-17564
Hair Regrowth Treatment for Women,1639-14911
Halaven,3284-14901
Halcion,2235-1490
Haldol,1230-729
Haldol Decanoate,1230-728
HalfLytely and Bisacodyl,386-10939
Halls Mentho-Lyptus Drops,2767-13148
Halog,1227-725
Harvoni,3567-16903
Havrix,1236-731
Havrix Pediatric,1238-10937
Headache Relief PM,64-8552
HealthyLax,1893-17032
Heather,1730-14561
Hectorol,937-502
Heet Triple Action,1601-13024
Helidac,392-2540
Heliocare Advanced,1711-20125
Helixate FS,216-11203
Hemabate,526-4047
Hemady,810-19233
Hematex,1386-18946
Hematinic with Folic Acid,1078-9961
Hemgenix,4416-20224
Hemlibra,3876-18718
Hemmorex-HC,2378-17657
Hemocyte,1077-1689
Hemocyte-F,1078-1666
Hemofil-M,216-11205
Hemorid,2528-12094
Hemorrhoidal,2528-12098
Hemorrhoidal Cooling Gel,2528-12360
Hemorrhoidal Hygiene Pads,1190-15021
Hemp MonoPure,1749-20493
Hemril-30,2378-11964
HepaGam B,1239-5047
HepaGam B NovaPlus,1239-12147
Heplisav-B,3251-18714
Hepsera,104-34
Her Style,1461-17959
Herceptin,2226-1478
Herceptin Hylecta,3997-19076
Hercessi,2226-20740
Herzuma,2226-19021
Hespan,1241-5741
Hetlioz,3507-16382
Hetlioz LQ,3507-19664
Hextend,1241-5742
Hi-Vegi-Lip,1786-4807
Hiberix,1225-13989
Hibiclens,588-1653
Hibistat Towelette,588-5177
Hiprex,1582-961
Histafed,1966-7261
Histex PD Drops,2257-17041
Histex Syrup,2257-17040
Histex-AC,3731-17946
Hizentra,2888-14395
Homatropaire,1247-2125
Horizant,3488-16336
Hulio,102-19500
Humalog,1349-805
Humalog Mix 50/50 KwikPen,1350-12468
Humalog Mix 75/25,1350-10692
Humalog Mix 75/25 KwikPen,1350-12467
Human Albumin Grifols,108-5737
Humate-P,217-2509
Humatrope,2100-1721
Humira,102-32
Humulin 70/30,1348-10461
Humulin 70/30 Pen,1348-10465
Humulin N,1347-1564
Humulin N Pen,1347-10452
Humulin R,1351-1568
Humulin R U-500 (Concentrated),1351-17801
Humulin R U-500 KwikPen,1351-17813
Hyalgan,2083-10416
Hycamtin,2217-1470
Hycet,71-2119
Hycodan,1248-737
Hycofenix,1205-17370
Hydergine,1004-552
Hydrea,1302-772
Hydro 35,2277-13845
Hydro 40,2277-4135
Hydrocil,1967-4892
Hydromet,1248-738
Hydrophor,1833-18991
Hyftor,4351-20015
Hygenic Cleansing Pad,2313-18672
Hylenex,1252-2146
Hylira,2084-2423
Hymovis,1251-18336
Hympavzi,4648-20869
Hyolev MB,3594-17527
Hyper-Sal,2410-13592
HyperRAB S/D,1984-18174
HyperRHO S/D Full Dose,2008-5060
HyperRHO S/D Mini-Dose,2008-11390
Hypercare,139-5561
Hyperhep B,1239-5046
Hypotears,1740-9373
Hyqvia,3575-16921
Hysept,2085-15888
Hysingla ER,2874-16923
Hyskon,2765-11855
Hytrin,2159-1406
Hyzaar,1260-900
IBU,1310-779
INOmax,1723-10691
IPM Wound,2084-17047
Ibrance,3602-17088
Ibudone,1273-12462
Ibuprofen PM,900-15690
Icar,524-10651
Icar Prenatal Chewable Calcium,464-3813
Icar Prenatal Essential Omega-3,1749-3877
Icar-C,3397-15896
Iclevia,1042-18887
Iclusig,3433-16015
Icy Hot Extra Strength,2767-19565
Icy Hot PM Patch,492-12583
Idacio,102-20236
Idamycin PFS,1315-785
Idelvion,710-17955
Idhifa,3854-18594
Ilaris,3151-13924
Ilevro,1707-16113
Ilumya,3905-18813
Iluvien,1104-16898
Imbruvica,3500-16371
Imcivree,4206-19610
Imdelltra,4614-20749
Imdur,1401-824
Imfinzi,3807-18474
Imitrex,2136-1391
Imjudo,4408-20187
Imkeldi,1321-20933
Imlygic,3701-17605
Imodium A-D,1482-889
Imogam Rabies-HT,1984-5066
Imovax Rabies,1985-11115
Impavido,3515-16398
Implanon,1056-10756
Impoyz,696-18743
ImproVue,1740-20254
Imuldosa,3175-20870
Imuran,296-139
Imvexxy,2422-18853
Inbrija,1456-19028
Incassia,1730-18224
Incivek,3328-15346
Increlex,1537-925
Incruse Ellipta,3528-16561
Inderal,1956-1266
Indocin,1335-795
Indocin SR,1335-796
Infasurf,483-10417
Infed,1385-820
Inflectra,1336-17990
Infugem,1164-18892
Infumorph,1656-1030
Ingrezza,3800-18446
Injectafer,3482-16272
Inlyta,3364-15584
Innerclean,2054-4833
Inova,354-5283
Inova 4/1,358-14056
Inova 8/2,358-14057
Inpefa,4492-20395
Inqovi,4167-19501
Inrebic,4083-19182
Inspra,997-544
Insta-Char,574-4978
Insta-Glucose,2371-12821
Integrilin,1002-549
Intelence,2793-12484
Intermezzo,2333-15492
Intrarosa,2503-18442
Introvale,1042-14869
Intuniv,1219-13992
Invega,1781-2498
Invega Hafyera,1781-19825
Invega Sustenna,1781-13969
Invega Trinza,1781-17369
Inveltys,1490-18931
Invirase,2044-1334
Invokamet,3553-16861
Invokamet XR,3553-18212
Invokana,3465-16153
Iodex,2773-11695
Ionil T,712-371
Ionsys,1074-3464
Iophen-C NR,719-8059
Iopidine,225-2168
Iosat,1917-15315
Ipol,1890-1222
Iprivask,803-10836
Irenka,949-17458
Iressa,1163-685
Iron Chews,524-10652
Isentress,2413-12294
Isentress HD,2413-18527
Isibloom,807-17516
Isochron,1400-3499
Isopto Carbachol,496-2144
Isopto Carpine,1869-1209
Isopto Homatropine,1247-2126
Isopto Tears,1740-14619
Isordil Titradose,1400-827
Isovue-200,1373-5663
Isovue-250,1373-5664
Isovue-300,1373-5666
Isovue-370,1373-5665
Isovue-M-200,1373-5662
Isovue-M-300,1373-5667
Istalol,2197-1444
Istodax,3183-14218
Isturisa,4141-19418
Ivy-Dry Cream,3842-20217
Ivy-Dry Super,3842-20216
Ixchiq,4560-20628
Ixempra,2794-12485
Ixiaro,3628-17393
Ixinity,710-17305
Jadenu,791-17290
Jadenu Sprinkle,791-18543
Jaimiess,1042-18797
Jakafi,3352-15486
Jalyn,3240-14604
Janssen COVID-19 Vaccine,4235-19688
Jantoven,2311-2631
Janumet,1576-2527
Janumet XR,1576-15596
Januvia,2070-2467
Jardiance,3548-16721
Jasmiel,947-19050
Jatenzo,2167-19086
Javygtor,2789-20158
Jay-Phyl,954-6880
Jaypirca,4429-20277
Jelmyto,1642-19435
Jemperli,4256-19736
Jencycla,1730-16155
Jentadueto,3372-15595
Jentadueto XR,3372-18036
Jesduvroq,4431-20279
Jeuveau,3993-19062
Jevantique Lo,1044-17659
Jevtana,3241-14605
Jubbonti,3238-20698
Jublia,3536-16578
Juleber,807-17660
Juluca,3877-18719
Junel 1.5/30,1044-6745
Junel 1/20,1044-6748
Junel Fe 1.5/30,1044-6749
Junel Fe 1/20,1044-6740
Junel Fe 24,1044-17417
Juvisync,3347-15446
Juxtapid,3437-16025
Kadcyla,3457-16103
Kadian,1656-1028
Kaitlib Fe,1044-17798
Kalbitor,3184-14308
Kaletra,1484-891
Kalexate,2391-14059
Kalliga,807-18521
Kalydeco,3371-15594
Kanjinti,2226-19138
Kank-a,2339-15889
Kanuma,3720-17787
Kaopectate,391-176
Kapidex,3107-13647
Kapvay,704-14827
Karbinal ER,516-16157
Kariva,807-9728
Katerzia,172-19146
Kaxm,1295-19629
Kayexalate,2391-1364
Kazano,3450-16066
KedRAB,1984-18629
Kedbumin,108-15890
Keflex,564-285
Keido,1295-19630
Kelnor 1/35,1040-8031
Kelnor 1/50,1040-18808
Kenalog,2233-1680
Kenalog-40,2232-1682
Kepivance,1780-1727
Keppra,1448-858
Kera Nail,2277-16467
Kera-42,2277-16468
Keralac,2277-2085
Keralyt Scalp,2037-14261
KeralytGel,2037-5493
Kerasal,2040-10865
Kerasal AL,180-10128
Kerendia,4277-19782
Kerlone,374-168
Kerol,2277-4136
Kerydin,3544-16711
Kesimpta,3179-19530
Ketalar,1411-2208
Ketek,2151-1400
Ketodan,1413-15924
Keveyis,868-17512
Kevzara,3809-18480
Kexm,1295-19633
Keytruda,3558-16873
Kidkare Cough/Cold,614-16469
Kimmtrak,4335-19933
Kimyrsa,3551-19717
Kineret,205-93
Kinevac,2068-9858
Kinlytic,2280-12579
Kinrix,2836-12712
Kionex,2391-1365
Kisqali,3790-18417
Kisqali Femara Co-Pack,3810-18481
Kisunla,4476-20780
Kitabis Pak,2206-16929
Klaron,2122-2563
Klisyri,4225-19665
Klonopin,703-357
Klor-Con,1912-1230
Klor-Con/EF,1907-14201
Kloxxado,1682-19738
Koate-DVI,216-11197
Kogenate FS,216-96
Kola-Pectin DS,391-16199
Koldets Cough Drops,2767-12018
Kombiglyze XR,3280-14873
Konsyl Daily Fiber Therapy,1892-4879
Konvomep,1751-20111
Kori Krill Oil Omega-3,1749-20494
Korlym,1630-15603
Korsuva,4293-19814
Koselugo,4143-19433
Kovaltry,216-17963
L-Methylfolate Forte,1419-18186
